Wallet,Date Decouverte,Score Initial,Statut,Date Debut Surveillance,Jours Suivis,Nb Trades,PnL Cumule (SOL),PnL Cumule (USD),Win Rate (%),Funded By,Score Qualify,Derniere Qualification,Date Decision,Lien Tracker,Notes
FugGcc6e9bzLv7zuhMV8iPVfnB8jaN3f1XYgTmDy73rq,2026-08-05,100,Ecarte,2026-08-05,0,,,,,DQ5JWbJyWdJeyBxZuuyu36sUBud6L6wo3aN1QC1bRmsR (1.6804 SOL),reject,2026-08-05,2026-08-05,,"multi-token meme adresse (2), sample n=2 coverage 411h, winrate 0%"
GvE6nrjz6Ya9aZvgpU4D5HteWFHpDfKP6k3eCArwBjP7,2026-08-05,100,Ecarte,2026-08-05,0,,,,,8mowmVCEewZ9W2cEaQyQeQEeSxhGr1hvRviLwozwNtBt (1.7274 SOL),reject,2026-08-05,2026-08-05,,"multi-token meme adresse (4), sample thin n=4 coverage 0.1h, winrate 0%"
A5pSZ8yct8gpebwgnMH1zLHgj6yNzuQCst4J4eMGb1cW,2026-08-05,100,Ecarte,2026-08-05,0,,,,,H8sMJSCQxfKiFTCfDR3DUMLPwcRbM61LGFJ8N4dK3WjS / Coinbase (1.7999 SOL),reject,2026-08-05,2026-08-05,,"funded by exchange (Coinbase), sample n=1 coverage 91h, winrate 0%, net expected gain 0%"
8JLEWDyq4zZhLC5wQFR7yFkHEBgoZVm1XGYwEDeLbdby,2026-08-05,100,Ecarte,2026-08-05,0,,,,,"EBx24uAPtaS1SvHwRhKEktSgzaXdiVEyHuSVpAMVwrcD (25 SOL, mother)",reject,2026-08-05,2026-08-05,,"multi-token meme adresse (12), sample thin n=12 coverage 21.3h, winrate 0%, net gain -6.6%"
BLnA72XN7Jvt5oPZXXnpXYQzwsuqYJ2x511nZ24wRfr3,2026-08-05,100,Ecarte,2026-08-05,0,,,,,"4W1pr6BxfwdEtknst3tYd7EeQWkbJepahdAQwffrJbgr (8 SOL, mother)",reject,2026-08-05,2026-08-05,,"multi-token meme adresse (2), sample thin n=2 coverage 0.1h, winrate 0%"
96w1xzbRQgBEeTa3CEwRJNSQuXRfTwKNXYo4hyKybSxQ,2026-08-06,95,Ecarte,,0,,,,,,reject,2026-08-06,2026-08-06,,"spray: wallet createur de 2 tokens seul (dev_tokens=2) -- jamais un pattern CEX valide, meme score eleve"
EudD7JQXkizu372JhTXXDdsTsLAtz884YxbzXAwBUunV,2026-08-06,95,Ecarte,,0,,,,,,reject,2026-08-06,2026-08-06,,"spray: wallet createur de 7 tokens seul (dev_tokens=7) -- jamais un pattern CEX valide, meme score eleve"
DrQvUgr53bQ1TLhRady1u7SEUxgHgEvBpHms78DHhG9f,2026-08-06,95,Ecarte,,0,,,,,,reject,2026-08-06,2026-08-06,,"spray: wallet createur de 6 tokens seul (dev_tokens=6) -- jamais un pattern CEX valide, meme score eleve"
AKCu9ZjLmMHiStPWYyxqVaJpQs9JcEiaTNaCqZhVgdeB,2026-08-06,95,Ecarte,,0,,,,,,reject,2026-08-06,2026-08-06,,"spray: wallet createur de 2 tokens seul (dev_tokens=2) -- jamais un pattern CEX valide, meme score eleve"
DrZhh8Uz9ahWYEXyv1zWNgemN3BRAi42aSZVV2vsKsVy,2026-08-06,100,Ecarte,,0,,,,,,reject,2026-08-06,2026-08-06,,"spray: wallet createur de 5 tokens seul (dev_tokens=5) -- jamais un pattern CEX valide, meme score eleve"
7F4sTCyUqN33tSRtYDkVg9ABKW8CgfFSTXrFjadqQkRr,2026-08-06,100,Ecarte,,0,,,,,,reject,2026-08-06,2026-08-06,,"spray: wallet createur de 17 tokens seul (dev_tokens=17) -- jamais un pattern CEX valide, meme score eleve"
FTWptXCiFtFGcsjAwSusPM4wbHusKPB6WfmqRjVJKQgg,2026-08-06,95,Ecarte,,0,,,,,,reject,2026-08-06,2026-08-06,,"spray: wallet createur de 10 tokens seul (dev_tokens=10) -- jamais un pattern CEX valide, meme score eleve"
4F7dADhxqJQM6jWgaC8FwsTN9v34MQQ27BnfoqAmb7QF,2026-08-06,95,Ecarte,,0,,,,,,reject,2026-08-06,2026-08-06,,"spray: wallet createur de 9 tokens seul (dev_tokens=9) -- jamais un pattern CEX valide, meme score eleve"
3pLheGVtmHLe5xDpVXWLLPmcKquNLTGMEmzTofxLmoCC,2026-08-06,95,Ecarte,,0,,,,,,reject,2026-08-06,2026-08-06,,"spray: wallet createur de 4 tokens seul (dev_tokens=4) -- jamais un pattern CEX valide, meme score eleve"
iVtEYVbJK2P92wsrf1zhsfKoxidYLeN8ps6WV4UnsJ7,2026-08-06,95,Ecarte,,0,,,,,,reject,2026-08-06,2026-08-06,,"spray: wallet createur de 7 tokens seul (dev_tokens=7) -- jamais un pattern CEX valide, meme score eleve"
CqwzsajXDAsudy36VH7gYWAfyDHFJeWzFr62oKfwcgCe,2026-08-06,95,Ecarte,,0,,,,,,reject,2026-08-06,2026-08-06,,"spray: wallet createur de 19 tokens seul (dev_tokens=19) -- jamais un pattern CEX valide, meme score eleve"
CHKKcK7NxUL6Hu1DvxiCXF8ZbPy56MLbpneg2941FWAi,2026-08-06,95,Ecarte,,0,,,,,,reject,2026-08-06,2026-08-06,,"spray: wallet createur de 10 tokens seul (dev_tokens=10) -- jamais un pattern CEX valide, meme score eleve"
5Nky6uHEpufa3TWYnBeq2wdAoj5AJzcuQno5bFGqvRGi,2026-08-06,95,Ecarte,,0,,,,,,reject,2026-08-06,2026-08-06,,"spray: wallet createur de 3 tokens seul (dev_tokens=3) -- jamais un pattern CEX valide, meme score eleve"
3YpQRAGDCpraoXG9c9ntVaax9jRKPRSQQRXm7mg8YMiF,2026-08-06,95,Ecarte,,0,,,,,,reject,2026-08-06,2026-08-06,,"spray: wallet createur de 13 tokens seul (dev_tokens=13) -- jamais un pattern CEX valide, meme score eleve"
EwMz8cE1H7JPkzo26YJfWvSJexr6d9Yr7A1cUYrqa2Yz,2026-08-06,95,Ecarte,,0,,,,,,reject,2026-08-06,2026-08-06,,"spray: wallet createur de 6 tokens seul (dev_tokens=6) -- jamais un pattern CEX valide, meme score eleve"
54xrJ798DGwH1UA2H35QtAzKT55t8pL8bjBs9Arz3eoP,2026-08-06,95,Ecarte,,0,,,,,,reject,2026-08-06,2026-08-06,,"spray: wallet createur de 5 tokens seul (dev_tokens=5) -- jamais un pattern CEX valide, meme score eleve"
moanTeQ4d1c1wtZYENytCm1yZDXwUcUYTnSNpjpB4jF,2026-08-06,95,Ecarte,,0,,,,,,reject,2026-08-06,2026-08-06,,"spray: wallet createur de 12 tokens seul (dev_tokens=12) -- jamais un pattern CEX valide, meme score eleve"
DYvNV6AXYoR66K4wfnvzNDLtiCmKH28J639Qv6MFsKup,2026-08-06,95,Ecarte,,0,,,,,,reject,2026-08-06,2026-08-06,,"spray: wallet createur de 8 tokens seul (dev_tokens=8) -- jamais un pattern CEX valide, meme score eleve"
DASHpr1iYuzDeK9aaWvQmPex8vD3fytS81Leybgf4AXV,2026-08-06,100,Ecarte,,0,,,,,,reject,2026-08-06,2026-08-06,,"spray: wallet createur de 9 tokens seul (dev_tokens=9) -- jamais un pattern CEX valide, meme score eleve"
